#
# machine: TrueBeamSN2961, 15X
# generated from
# algorithm: AcurosXB_16
# beam data: TruebeamSTx15X
# add on: Open Field - 00
# data: OutputFactorTable
#
%VERSION 03
%DATE 24-07-2024
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 1000
%DetectorDepth 100
# Data
3, 4, 5, 7, 10, 15, 20, 30, 40
3, 0.862, 0.877, 0.886, 0.898, 0.904, 0.911, 0.913, 0.914, 0.914
4, 0.877, 0.893, 0.906, 0.920, 0.931, 0.938, 0.941, 0.945, 0.946
5, 0.888, 0.906, 0.919, 0.936, 0.950, 0.958, 0.963, 0.967, 0.968
7, 0.900, 0.921, 0.938, 0.959, 0.977, 0.987, 0.994, 0.999, 1.000
10, 0.911, 0.935, 0.954, 0.979, 1.000, 1.016, 1.024, 1.031, 1.033
15, 0.919, 0.946, 0.967, 0.996, 1.021, 1.040, 1.051, 1.061, 1.065
20, 0.923, 0.952, 0.973, 1.004, 1.032, 1.053, 1.066, 1.079, 1.083
30, 0.928, 0.957, 0.980, 1.013, 1.043, 1.068, 1.083, 1.099, 1.103
40, 0.931, 0.960, 0.984, 1.017, 1.048, 1.075, 1.091, 1.108, 1.113
