Xres,Yres
0.0,41.6
1.0,47.28
2.0,52.96
3.0,58.64
4.0,64.32
5.0,70.0
6.0,75.04
7.0,80.08
8.0,85.12
9.0,90.16
10.0,95.2
11.0,96.14
12.0,97.08
13.0,98.02000000000001
14.0,98.96000000000001
15.0,99.9
16.0,99.72
17.0,99.54
18.0,99.36
19.0,99.18
20.0,99.0
21.0,98.52
22.0,98.03999999999999
23.0,97.56
24.0,97.08
25.0,96.6
26.0,96.08
27.0,95.56
28.0,95.03999999999999
29.0,94.52
30.0,94.0
31.0,93.46
32.0,92.92
33.0,92.38
34.0,91.84
35.0,91.3
36.0,90.78
37.0,90.26
38.0,89.74
39.0,89.22
40.0,88.7
41.0,88.16
42.0,87.62
43.0,87.08
44.0,86.54
45.0,86.0
46.0,85.48
47.0,84.96000000000001
48.0,84.44
49.0,83.92
50.0,83.4
51.0,82.92
52.0,82.44
53.0,81.96000000000001
54.0,81.48
55.0,81.0
56.0,80.48
57.0,79.96000000000001
58.0,79.44
59.0,78.92
60.0,78.4
61.0,77.9
62.0,77.4
63.0,76.9
64.0,76.4
65.0,75.9
66.0,75.44
67.0,74.98
68.0,74.52
69.0,74.06
70.0,73.6
71.0,73.11999999999999
72.0,72.64
73.0,72.16
74.0,71.68
75.0,71.2
76.0,70.76
77.0,70.32000000000001
78.0,69.88
79.0,69.44
80.0,69.0
81.0,68.58
82.0,68.16
83.0,67.74000000000001
84.0,67.32000000000001
85.0,66.9
86.0,66.48
87.0,66.06
88.0,65.64
89.0,65.22
90.0,64.8
91.0,64.39999999999999
92.0,64.0
93.0,63.599999999999994
94.0,63.199999999999996
95.0,62.8
96.0,62.419999999999995
97.0,62.04
98.0,61.66
99.0,61.28
100.0,60.9
101.0,60.58
102.0,60.26
103.0,59.94
104.0,59.62
105.0,59.3
106.0,58.879999999999995
107.0,58.46
108.0,58.04
109.0,57.620000000000005
110.0,57.2
111.0,56.84
112.0,56.480000000000004
113.0,56.12
114.0,55.76
115.0,55.4
116.0,55.08
117.0,54.76
118.0,54.44
119.0,54.12
120.0,53.8
121.0,53.44
122.0,53.08
123.0,52.72
124.0,52.36
125.0,52.0
126.0,51.66
127.0,51.32
128.0,50.98
129.0,50.64
130.0,50.3
131.0,50.019999999999996
132.0,49.739999999999995
133.0,49.46
134.0,49.18
135.0,48.9
136.0,48.64
137.0,48.38
138.0,48.12
139.0,47.86
140.0,47.6
141.0,47.28
142.0,46.96
143.0,46.64
144.0,46.32
145.0,46.0
146.0,45.72
147.0,45.44
148.0,45.160000000000004
149.0,44.88
150.0,44.6
151.0,44.32
152.0,44.04
153.0,43.760000000000005
154.0,43.480000000000004
155.0,43.2
156.0,42.940000000000005
157.0,42.68
158.0,42.42
159.0,42.16
160.0,41.9
161.0,41.64
162.0,41.38
163.0,41.12
164.0,40.86
165.0,40.6
166.0,40.34
167.0,40.08
168.0,39.82
169.0,39.559999999999995
170.0,39.3
171.0,39.059999999999995
172.0,38.82
173.0,38.58
174.0,38.34
175.0,38.1
176.0,37.88
177.0,37.660000000000004
178.0,37.44
179.0,37.22
180.0,37.0
181.0,36.78
182.0,36.56
183.0,36.339999999999996
184.0,36.12
185.0,35.9
186.0,35.66
187.0,35.42
188.0,35.18
189.0,34.940000000000005
190.0,34.7
191.0,34.5
192.0,34.300000000000004
193.0,34.1
194.0,33.900000000000006
195.0,33.7
196.0,33.5
197.0,33.300000000000004
198.0,33.1
199.0,32.900000000000006
200.0,32.7
201.0,32.5
202.0,32.300000000000004
203.0,32.1
204.0,31.9
205.0,31.7
206.0,31.5
207.0,31.3
208.0,31.099999999999998
209.0,30.9
210.0,30.7
211.0,30.52
212.0,30.34
213.0,30.16
214.0,29.98
215.0,29.8
216.0,29.64
217.0,29.48
218.0,29.32
219.0,29.16
220.0,29.0
221.0,28.82
222.0,28.64
223.0,28.46
224.0,28.28
225.0,28.1
226.0,27.92
227.0,27.740000000000002
228.0,27.56
229.0,27.38
230.0,27.2
231.0,27.04
232.0,26.88
233.0,26.72
234.0,26.56
235.0,26.4
236.0,26.259999999999998
237.0,26.119999999999997
238.0,25.98
239.0,25.84
240.0,25.7
241.0,25.54
242.0,25.38
243.0,25.22
244.0,25.06
245.0,24.9
246.0,24.759999999999998
247.0,24.619999999999997
248.0,24.48
249.0,24.34
250.0,24.2
251.0,24.06
252.0,23.919999999999998
253.0,23.78
254.0,23.64
255.0,23.5
256.0,23.36
257.0,23.22
258.0,23.080000000000002
259.0,22.94
260.0,22.8
261.0,22.66
262.0,22.52
263.0,22.380000000000003
264.0,22.240000000000002
265.0,22.1
266.0,21.98
267.0,21.86
268.0,21.740000000000002
269.0,21.62
270.0,21.5
271.0,21.38
272.0,21.259999999999998
273.0,21.14
274.0,21.02
275.0,20.9
276.0,20.779999999999998
277.0,20.66
278.0,20.54
279.0,20.42
280.0,20.3
281.0,20.16
282.0,20.02
283.0,19.880000000000003
284.0,19.740000000000002
285.0,19.6
286.0,19.5
287.0,19.400000000000002
288.0,19.3
289.0,19.200000000000003
290.0,19.1
291.0,19.0
292.0,18.900000000000002
293.0,18.8
294.0,18.700000000000003
295.0,18.6
296.0,18.5
297.0,18.400000000000002
298.0,18.3
299.0,18.200000000000003
300.0,18.1
301.0,17.98
302.0,17.86
303.0,17.740000000000002
304.0,17.62
305.0,17.5
306.0,17.4
307.0,17.3
308.0,17.2
309.0,17.1
